customer_id,age,gender,marital_status,education_level,location_type,tenure_months,contract_type,payment_method,paperless_billing,auto_payment,credit_score,account_status,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,data_usage_gb,streaming_tv,streaming_movies,online_security,online_backup,device_protection,num_support_tickets,num_technical_issues,satisfaction_score,complaint_status,monthly_charges,total_charges,avg_call_charge,late_payment_count,signup_date,churn
CUST_00000001,52.0,Male,Married,High School,Suburban,34,Two year,Bank transfer,No,Yes,562.0,Active,61.15,12,91.07,23,83.24,18,1.4,Yes,No,No,No,No,1,0,10.0,Resolved,53.42,1721.86,0.9893,0,2021-02-23,No
CUST_00000002,42.0,Male,Married,High School,Rural,14,Month-to-month,Credit card,Yes,Yes,564.0,Active,91.8,44,51.86,14,93.46,33,8.49,No,No,No,Yes,Yes,1,0,9.0,Resolved,67.77,968.86,0.7366,0,2022-10-11,No
CUST_00000003,54.0,Female,Married,High School,Suburban,40,One year,Credit card,Yes,Yes,,Suspended,250.01,96,61.67,22,129.5,34,17.08,Yes,Yes,No,No,No,3,1,4.0,Resolved,99.68,3788.89,0.6515,1,2020-08-21,No
CUST_00000004,67.0,Female,Divorced,Master,Rural,3,Month-to-month,Electronic check,No,Yes,533.0,Pending,158.69,51,187.71,51,84.57,30,23.75,No,No,No,No,No,7,3,4.0,Resolved,87.57,239.07,0.6584,0,2023-09-26,Yes
CUST_00000005,41.0,Female,Married,Master,Suburban,11,Month-to-month,Credit card,Yes,No,662.0,Active,169.54,73,147.5,33,24.99,7,13.43,No,No,No,No,Yes,3,1,6.0,Resolved,73.58,784.0,0.6454,1,2023-01-16,No
CUST_00000006,41.0,Male,Married,Master,Urban,4,One year,Electronic check,Yes,No,716.0,Active,120.61,45,91.58,19,32.68,13,3.28,Yes,No,No,No,No,2,0,6.0,Resolved,65.67,286.62,0.8419,1,2023-08-08,Yes
CUST_00000007,68.0,Male,Married,PhD,Suburban,1,Two year,Credit card,No,No,663.0,Active,129.08,31,97.97,20,196.86,51,0.95,No,No,No,No,No,2,0,9.0,Pending,52.76,52.17,0.5122,0,2023-11-26,Yes
CUST_00000008,56.0,Male,Married,Bachelor,Urban,72,One year,Mailed check,Yes,No,718.0,Active,70.43,34,35.88,8,93.38,31,24.64,Yes,Yes,No,Yes,No,4,2,5.0,Resolved,118.42,8426.05,1.6003,0,2018-01-01,No
CUST_00000009,37.0,Male,Married,High School,Urban,31,Month-to-month,Bank transfer,No,Yes,619.0,Active,172.24,65,111.44,31,93.39,27,22.34,Yes,No,Yes,Yes,Yes,3,1,7.0,Resolved,122.94,3806.0,0.9915,0,2021-05-12,No
CUST_00000010,53.0,Female,Married,Bachelor,Suburban,9,Month-to-month,Credit card,Yes,No,518.0,Active,31.83,9,70.21,14,93.21,34,2.5,No,No,No,No,No,3,0,6.0,Resolved,29.59,240.73,0.5102,1,2023-03-27,Yes
